dataid,localhour,air1,	air2,	air3,	airwindowunit1,	aquarium1,	bathroom1,	bathroom2,	bedroom1,	bedroom2,	bedroom3,	bedroom4,	bedroom5,	car1,	clotheswasher1,	clotheswasher_dryg1,	diningroom1,	diningroom2,	dishwasher1,	disposal1,	drye1,	dryg1,	freezer1,	furnace1,	furnace2,	garage1,	garage2,	gen,	grid,	heater1,	housefan1,	icemaker1,	jacuzzi1,	kitchen1,	kitchen2,	kitchenapp1,	kitchenapp2,	lights_plugs1,	lights_plugs2,	lights_plugs3,	lights_plugs4,	lights_plugs5,	lights_plugs6,	livingroom1,	livingroom2,	microwave1,	office1,	outsidelights_plugs1,	outsidelights_plugs2,	oven1,	oven2,	pool1,	pool2,	poollight1,	poolpump1,	pump1,	range1,	refrigerator1,	refrigerator2,	security1,	shed1,	sprinkler1,	use,	utilityroom1,	venthood1,	waterheater1,	waterheater2,	winecooler1,water_meter_value,  gas_meter_value
2014-09-02 00:00:00-05,22,0.52838333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.04755000000000000000,0,0,0,0,0.72533333333333333333,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.11618333333333333333,0,0,0,0,0.72533333333333333333,0,0,0,0,0,0,0
2014-09-02 00:00:00-05,48,0.25506666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02805000000000000000,0,0,0,0,0.49701666666666666667,0,0,0,0,0,0,0,0,0.00435000000000000000,0.00000000000000000000,0,0,0,0,0.12906666666666666667,0,0.07828333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.00506666666666666667,0,0,0,0,0.49701666666666666667,0,0,0,0,0,0,0
2014-09-02 01:00:00-05,22,0.14781666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.02178333333333333333,0,0,0,0,0.31716666666666666667,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.11411666666666666667,0,0,0,0,0.31716666666666666667,0,0,0,0,0,0,0
2014-09-02 01:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.00985000000000000000,0,0,0,0,0.26221666666666666667,0,0,0,0,0,0,0,0,0.000050000000000000000000,0.00000000000000000000,0,0,0,0,0.12435000000000000000,0,0.06868333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.05840000000000000000,0,0,0,0,0.26221666666666666667,0,0,0,0,0,0,0
2014-09-02 02:00:00-05,22,0.31468333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.03466666666666666667,0,0,0,0,0.49396666666666666667,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.11188333333333333333,0,0,0,0,0.49396666666666666667,0,0,0,0,0,0,0
2014-09-02 02:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.01060000000000000000,0,0,0,0,0.19810000000000000000,0,0,0,0,0,0,0,0,0.000050000000000000000000,0.00000000000000000000,0,0,0,0,0.12098333333333333333,0,0.05353333333333333333,0,0,0,0,0,0,0,0,0,0,0,0.01061666666666666667,0,0,0,0,0.19810000000000000000,0,0,0,0,0,0,0
2014-09-02 03:00:00-05,22,0.24406666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.03046666666666666667,0,0,0,0,0.50611666666666666667,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.19925000000000000000,0,0,0,0,0.50611666666666666667,0,0,0,0,0,0,0
2014-09-02 03:00:00-05,48,0.00000000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.01020000000000000000,0,0,0,0,0.24123333333333333333,0,0,0,0,0,0,0,0,0.04180000000000000000,0.00000000000000000000,0,0,0,0,0.09736666666666666667,0,0.03620000000000000000,0,0,0,0,0,0,0,0,0,0,0,0.05510000000000000000,0,0,0,0,0.24123333333333333333,0,0,0,0,0,0,0
2014-09-02 04:00:00-05,22,0.43835000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.00000000000000000000,0,0,0,0.04361666666666666667,0,0,0,0,0.63468333333333333333,0,0,0,0,0.00500000000000000000,0,0,0,0,0,0,0,0,0,0.02400000000000000000,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0.12113333333333333333,0,0,0,0,0.63468333333333333333,0,0,0,0,0,0,0
2014-09-02 04:00:00-05,48,0.15311666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00000000000000000000,0,0,0,0,0.02215000000000000000,0,0,0,0,0.37538333333333333333,0,0,0,0,0,0,0,0,0.06460000000000000000,0.00000000000000000000,0,0,0,0,0.07116666666666666667,0,0.05466666666666666667,0,0,0,0,0,0,0,0,0,0,0,0.01221666666666666667,0,0,0,0,0.37538333333333333333,0,0,0,0,0,0,0
